DATE RPTD,DATE OCC,TIME OCC,AREA,AREA NAME,DIST NO,CRIME,VICT SEX,PREMISES,WEAPON,LOCATION
1/1/2024 0:00,12/31/2023 0:00,2200,13,Newton,1324,VEHICLE - STOLEN,,STREET,,22ND                         ST
1/1/2024 0:00,12/31/2023 0:00,2000,14,Pacific,1444,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,,,4200    LINCOLN                      BL
1/1/2024 0:00,12/29/2023 0:00,1800,10,West Valley,1078,BURGLARY,M,DRUG STORE,,16600    VENTURA                      BL
1/1/2024 0:00,12/31/2023 0:00,2200,13,Newton,1309,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",F,NIGHT CLUB (OPEN EVENINGS ONLY),,2300 E  OLYMPIC                      BL
1/1/2024 0:00,12/18/2023 0:00,1200,17,Devonshire,1715,BURGLARY,M,SINGLE FAMILY DWELLING,,17700    ARVIDA                       DR
1/1/2024 0:00,12/29/2023 0:00,1525,12,77th Street,1248,THEFT PLAIN - PETTY ($950 & UNDER),F,OTHER/OUTSIDE,,800 W  66TH                         ST
1/1/2024 0:00,12/31/2023 0:00,1809,7,Wilshire,722,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,THE BEVERLY CONNECTION,,8400    BEVERLY                      BL
1/1/2024 0:00,12/30/2023 0:00,1730,15,N Hollywood,1555,ARSON,X,RESTAURANT/FAST FOOD,,4900    LANKERSHIM                   BL
1/1/2024 0:00,12/31/2023 0:00,2000,20,Olympic,2046,INTIMATE PARTNER - SIMPLE ASSAULT,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",8TH                          ST
1/1/2024 0:00,12/31/2023 0:00,2100,15,N Hollywood,1569,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,CONDOMINIUM/TOWNHOUSE,,10300    RIVERSIDE                    DR
1/1/2024 0:00,12/24/2023 0:00,700,9,Van Nuys,943,BURGLARY,M,SINGLE FAMILY DWELLING,,14300    COLLINS                      ST
1/1/2024 0:00,12/24/2023 0:00,800,7,Wilshire,755,BURGLARY,F,SINGLE FAMILY DWELLING,,1200    HAUSER                       BL
1/1/2024 0:00,8/8/2023 0:00,800,2,Rampart,212,CHILD NEGLECT (SEE 300 W.I.C.),F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,300 N  MADISON                      AV
1/1/2024 0:00,12/31/2023 0:00,1100,18,Southeast,1802,BATTERY - SIMPLE ASSAULT,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",92ND                         ST
1/1/2024 0:00,12/31/2023 0:00,2200,14,Pacific,1469,BURGLARY FROM VEHICLE,F,STREET,,CENTINELA
1/1/2024 0:00,12/29/2023 0:00,1,7,Wilshire,701,TRESPASSING,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,500 N  SWEETZER                     AV
1/1/2024 0:00,12/30/2023 0:00,1445,12,77th Street,1263,VEHICLE - STOLEN,,STREET,,1600 W  84TH                         PL
1/1/2024 0:00,12/20/2023 0:00,800,19,Mission,1909,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",F,SINGLE FAMILY DWELLING,,MOUNTAIN VIEW                PL
1/1/2024 0:00,12/17/2023 0:00,900,11,Northeast,1185,BURGLARY FROM VEHICLE,M,STREET,,LILAC                        TR
1/1/2024 0:00,12/22/2023 0:00,1900,19,Mission,1936,BURGLARY,F,SINGLE FAMILY DWELLING,,14400    BRAND                        BL
1/1/2024 0:00,12/29/2023 0:00,1600,18,Southeast,1822,BURGLARY,X,ELEMENTARY SCHOOL,,400 W  98TH                         ST
1/1/2024 0:00,12/29/2023 0:00,1159,8,West LA,808,THEFT PLAIN - PETTY ($950 & UNDER),M,SINGLE FAMILY DWELLING,,13300    MULHOLLAND                   DR
1/1/2024 0:00,2/10/2023 0:00,1225,18,Southeast,1824,THEFT OF IDENTITY,M,SINGLE FAMILY DWELLING,,1100 E  101ST                        ST
1/1/2024 0:00,12/22/2023 0:00,1100,20,Olympic,2093,BURGLARY,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1900 S  OXFORD                       AV
1/1/2024 0:00,12/23/2023 0:00,1400,15,N Hollywood,1545,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,HIGH SCHOOL,,5200    COLFAX                       AV
1/1/2024 0:00,12/27/2023 0:00,1905,15,N Hollywood,1591,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,BOOK STORE,,12100    VENTURA                      BL
1/1/2024 0:00,12/29/2023 0:00,1245,10,West Valley,1043,BURGLARY FROM VEHICLE,M,STREET,,18600    HATTERAS                     ST
1/1/2024 0:00,12/31/2023 0:00,2140,16,Foothill,1684,INTIMATE PARTNER - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7900    LAUREL CANYON                BL
1/1/2024 0:00,12/31/2023 0:00,1635,15,N Hollywood,1555,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),X,MARKET,,5100    LANKERSHIM                   BL
1/1/2024 0:00,12/27/2023 0:00,1645,11,Northeast,1152,VIOLATION OF RESTRAINING ORDER,M,SINGLE FAMILY DWELLING,,1500    TALMADGE                     ST
1/1/2024 0:00,12/31/2023 0:00,2300,6,Hollywood,663,ROBBERY,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",SANTA MONICA                 BL
1/1/2024 0:00,12/29/2023 0:00,1348,11,Northeast,1145,THEFT PLAIN - PETTY ($950 & UNDER),F,"PORCH, RESIDENTIAL",,2200    INDIA                        ST
1/1/2024 0:00,12/31/2023 0:00,1100,17,Devonshire,1799,THREATENING PHONE CALLS/LETTERS,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,8300    WOODLEY                      PL
1/1/2024 0:00,12/31/2023 0:00,2340,3,Southwest,361,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",KITCHEN KNIFE,3900    STEVELY                      AV
1/1/2024 0:00,12/31/2023 0:00,2200,12,77th Street,1257,INTIMATE PARTNER - AGGRAVATED ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",FLORENCE
1/1/2024 0:00,12/28/2023 0:00,1230,11,Northeast,1141,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,STREET,,1900 N  BERENDO                      ST
1/1/2024 0:00,12/28/2023 0:00,1700,15,N Hollywood,1515,BATTERY - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11800    HART                         ST
1/1/2024 0:00,12/31/2023 0:00,2030,4,Hollenbeck,416,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,"VEHICLE, PASSENGER/TRUCK",,3200    SIERRA                       ST
1/1/2024 0:00,12/31/2023 0:00,1515,17,Devonshire,1747,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,BEAUTY/BARBER SHOP,,16900    DEVONSHIRE                   ST
1/1/2024 0:00,12/31/2023 0:00,2355,6,Hollywood,646,BATTERY - SIMPLE ASSAULT,M,NIGHT CLUB (OPEN EVENINGS ONLY),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6500    SELMA                        AV
